rowNumber,predictedValues
1832,No Failure
1833,No Failure
1834,No Failure
1835,No Failure
1836,No Failure
1837,No Failure
1838,No Failure
1839,Heat Dissipation Failure
1840,No Failure
1841,No Failure
1842,No Failure
1843,No Failure
1844,No Failure
1845,No Failure
1846,Heat Dissipation Failure
1847,No Failure
1848,No Failure
1849,No Failure
1850,No Failure
1851,No Failure
1852,No Failure
1853,No Failure
1854,No Failure
1855,No Failure
1856,No Failure
1857,No Failure
1858,No Failure
1859,No Failure
1860,No Failure
1861,No Failure
1862,No Failure
1863,No Failure
1864,No Failure
1865,No Failure
1866,No Failure
1867,No Failure
1868,No Failure
1869,No Failure
1870,No Failure
1871,No Failure
1872,No Failure
1873,No Failure
1874,No Failure
1875,No Failure
1876,No Failure
1877,No Failure
1878,No Failure
1879,No Failure
1880,No Failure
1881,No Failure
1882,No Failure
1883,No Failure
1884,Power Failure
1885,No Failure
1886,No Failure
1887,No Failure
1888,No Failure
1889,No Failure
1890,No Failure
1891,No Failure
1892,No Failure
1893,No Failure
1894,No Failure
1895,No Failure
1896,No Failure
1897,No Failure
1898,No Failure
1899,No Failure
1900,No Failure
1901,No Failure
1902,No Failure
1903,No Failure
1904,No Failure
1905,No Failure
1906,No Failure
1907,No Failure
1908,Heat Dissipation Failure
1909,No Failure
1910,No Failure
1911,No Failure
1912,No Failure
1913,No Failure
1914,No Failure
1915,No Failure
1916,No Failure
1917,No Failure
1918,No Failure
1919,No Failure
1920,No Failure
1921,No Failure
1922,No Failure
1923,No Failure
1924,No Failure
1925,No Failure
1926,No Failure
1927,No Failure
1928,No Failure
1929,No Failure
1930,No Failure
1931,No Failure
1932,No Failure
1933,No Failure
1934,No Failure
1935,No Failure
1936,No Failure
1937,No Failure
1938,No Failure
1939,No Failure
1940,No Failure
1941,No Failure
1942,No Failure
1943,No Failure
1944,No Failure
1945,No Failure
1946,No Failure
1947,No Failure
1948,No Failure
1949,No Failure
1950,No Failure
1951,No Failure
1952,No Failure
1953,No Failure
1954,No Failure
1955,No Failure
1956,No Failure
1957,No Failure
1958,No Failure
1959,No Failure
1960,No Failure
1961,No Failure
1962,No Failure
1963,No Failure
1964,Heat Dissipation Failure
1965,No Failure
1966,Overstrain Failure
1967,No Failure
1968,No Failure
1969,No Failure
1970,No Failure
1971,No Failure
1972,No Failure
1973,No Failure
1974,No Failure
1975,No Failure
1976,No Failure
1977,No Failure
1978,No Failure
1979,No Failure
1980,No Failure
1981,No Failure
1982,No Failure
1983,No Failure
1984,No Failure
1985,No Failure
1986,No Failure
1987,No Failure
1988,No Failure
1989,No Failure
1990,No Failure
1991,No Failure
1992,No Failure
1993,No Failure
1994,No Failure
1995,No Failure
1996,No Failure
1997,No Failure
1998,No Failure
1999,No Failure
2000,No Failure
